"STATION","NAME","DATE","TAVG","TOBS"
"USC00202437","EATON RAPIDS, MI US","2013-02-25",,"20"
"USC00202437","EATON RAPIDS, MI US","2013-02-26",,"29"
"USC00202437","EATON RAPIDS, MI US","2013-02-27",,"33"
"USC00202437","EATON RAPIDS, MI US","2013-02-28",,"33"
"USC00202437","EATON RAPIDS, MI US","2013-03-01",,"27"
"USC00202437","EATON RAPIDS, MI US","2013-03-05",,"20"
"USC00202437","EATON RAPIDS, MI US","2013-03-06",,"28"
"USC00202437","EATON RAPIDS, MI US","2013-03-07",,"31"
"USC00202437","EATON RAPIDS, MI US","2013-03-08",,"20"
"USC00202437","EATON RAPIDS, MI US","2013-03-11",,"49"
"USC00202437","EATON RAPIDS, MI US","2013-03-13",,"23"
"USC00202437","EATON RAPIDS, MI US","2013-03-14",,"21"
"USC00202437","EATON RAPIDS, MI US","2013-03-18",,"25"
"USC00202437","EATON RAPIDS, MI US","2013-03-19",,"22"
"USC00202437","EATON RAPIDS, MI US","2013-03-20",,"22"
"USC00202437","EATON RAPIDS, MI US","2013-03-22",,"26"
"USC00202437","EATON RAPIDS, MI US","2013-03-25",,"31"
"USC00202437","EATON RAPIDS, MI US","2013-03-26",,"31"
"USC00202437","EATON RAPIDS, MI US","2013-03-27",,"30"
"USC00202437","EATON RAPIDS, MI US","2013-03-28",,"30"
"USC00202437","EATON RAPIDS, MI US","2013-04-01",,"27"
"USC00202437","EATON RAPIDS, MI US","2013-04-02",,"22"
"USC00202437","EATON RAPIDS, MI US","2013-04-08",,"39"
"USC00202437","EATON RAPIDS, MI US","2013-04-09",,"41"
"USC00202437","EATON RAPIDS, MI US","2013-04-10",,"39"
"USC00202437","EATON RAPIDS, MI US","2013-04-11",,"37"
"USC00202437","EATON RAPIDS, MI US","2013-04-15",,"45"
"USC00202437","EATON RAPIDS, MI US","2013-04-16",,"45"
"USC00202437","EATON RAPIDS, MI US","2013-04-17",,"40"
"USC00202437","EATON RAPIDS, MI US","2013-04-18",,"50"
"USC00202437","EATON RAPIDS, MI US","2013-04-19",,"39"
"USC00202437","EATON RAPIDS, MI US","2013-04-22",,"38"
"USC00202437","EATON RAPIDS, MI US","2013-04-23",,"47"
"USC00202437","EATON RAPIDS, MI US","2013-04-24",,"35"
"USC00202437","EATON RAPIDS, MI US","2013-04-25",,"40"
"USC00202437","EATON RAPIDS, MI US","2013-04-26",,"35"
"USC00202437","EATON RAPIDS, MI US","2013-04-29",,"53"
"USC00202437","EATON RAPIDS, MI US","2013-05-02",,"61"
"USC00202437","EATON RAPIDS, MI US","2013-05-03",,"61"
"USC00202437","EATON RAPIDS, MI US","2013-05-06",,"48"
"USC00202437","EATON RAPIDS, MI US","2013-05-07",,"52"
"USC00202437","EATON RAPIDS, MI US","2013-05-08",,"53"
"USC00202437","EATON RAPIDS, MI US","2013-05-09",,"56"
"USC00202437","EATON RAPIDS, MI US","2013-05-10",,"60"
